level,power,vitality,resolve,maxHp,p,armor,magicResist,guardBonus,apMax,mpMax,handMax,mods,physicalEHP,basicDamage,normalGuard,normalHit
"1","4","1","1","117","21.599999999999998","0.02","0","0.05","4","3","5","{}","119.38775510204081","6.048","10.206","11.879999999999999"
"1","4","2","0","123","21.599999999999998","0","0","0","4","3","5","{}","123","6.048","9.719999999999999","11.879999999999999"
"1","5","0","1","110","22.5","0.02","0","0.05","4","3","5","{}","112.24489795918367","6.300000000000001","10.63125","12.375000000000002"
"1","5","1","0","117","22.5","0","0","0","4","3","5","{}","117","6.300000000000001","10.125","12.375000000000002"
"1","6","0","0","110","23.400000000000002","0","0","0","4","3","5","{}","110","6.552000000000001","10.530000000000001","12.870000000000003"
"2","0","0","6","135","22","0.12","0","0.30000000000000004","4","3","5","{}","153.4090909090909","6.16","12.870000000000001","12.100000000000001"
"2","0","1","5","143","22","0.1","0","0.25","4","3","5","{}","158.88888888888889","6.16","12.375","12.100000000000001"
"2","0","2","4","151","22","0.08","0","0.2","4","3","5","{}","164.1304347826087","6.16","11.88","12.100000000000001"
"2","0","3","3","159","22","0.06","0","0.15000000000000002","4","3","5","{}","169.14893617021278","6.16","11.385","12.100000000000001"
"2","0","4","2","167","22","0.04","0","0.1","4","3","5","{}","173.95833333333334","6.16","10.89","12.100000000000001"
"2","0","5","1","176","22","0.02","0","0.05","4","3","5","{}","179.59183673469389","6.16","10.395000000000001","12.100000000000001"
"2","0","6","0","184","22","0","0","0","4","3","5","{}","184","6.16","9.9","12.100000000000001"
"2","1","0","5","135","23.1","0.1","0","0.25","4","3","5","{}","150","6.468000000000001","12.993750000000002","12.705000000000002"
"2","1","1","4","143","23.1","0.08","0","0.2","4","3","5","{}","155.43478260869566","6.468000000000001","12.474000000000002","12.705000000000002"
"2","1","2","3","151","23.1","0.06","0","0.15000000000000002","4","3","5","{}","160.63829787234044","6.468000000000001","11.95425","12.705000000000002"
"2","1","3","2","159","23.1","0.04","0","0.1","4","3","5","{}","165.625","6.468000000000001","11.434500000000002","12.705000000000002"
"2","1","4","1","167","23.1","0.02","0","0.05","4","3","5","{}","170.40816326530611","6.468000000000001","10.914750000000002","12.705000000000002"
"2","1","5","0","176","23.1","0","0","0","4","3","5","{}","176","6.468000000000001","10.395000000000001","12.705000000000002"
"2","2","0","4","135","24.200000000000003","0.08","0","0.2","4","3","5","{}","146.7391304347826","6.776000000000002","13.068000000000003","13.310000000000002"
"2","2","1","3","143","24.200000000000003","0.06","0","0.15000000000000002","4","3","5","{}","152.12765957446808","6.776000000000002","12.523500000000002","13.310000000000002"
"2","2","2","2","151","24.200000000000003","0.04","0","0.1","4","3","5","{}","157.29166666666669","6.776000000000002","11.979000000000003","13.310000000000002"
"2","2","3","1","159","24.200000000000003","0.02","0","0.05","4","3","5","{}","162.24489795918367","6.776000000000002","11.434500000000003","13.310000000000002"
"2","2","4","0","167","24.200000000000003","0","0","0","4","3","5","{}","167","6.776000000000002","10.890000000000002","13.310000000000002"
"2","3","0","3","135","25.299999999999997","0.06","0","0.15000000000000002","4","3","5","{}","143.61702127659575","7.084","13.092749999999999","13.915"
"2","3","1","2","143","25.299999999999997","0.04","0","0.1","4","3","5","{}","148.95833333333334","7.084","12.5235","13.915"
"2","3","2","1","151","25.299999999999997","0.02","0","0.05","4","3","5","{}","154.08163265306123","7.084","11.95425","13.915"
"2","3","3","0","159","25.299999999999997","0","0","0","4","3","5","{}","159","7.084","11.385","13.915"
"2","4","0","2","135","26.4","0.04","0","0.1","4","3","5","{}","140.625","7.392","13.068","14.52"
"2","4","1","1","143","26.4","0.02","0","0.05","4","3","5","{}","145.91836734693877","7.392","12.474","14.52"
"2","4","2","0","151","26.4","0","0","0","4","3","5","{}","151","7.392","11.879999999999999","14.52"
"2","5","0","1","135","27.5","0.02","0","0.05","4","3","5","{}","137.75510204081633","7.700000000000001","12.99375","15.125000000000002"
"2","5","1","0","143","27.5","0","0","0","4","3","5","{}","143","7.700000000000001","12.375","15.125000000000002"
"2","6","0","0","135","28.6","0","0","0","4","3","5","{}","135","8.008000000000001","12.870000000000001","15.730000000000002"
"3","0","0","6","165","27","0.12","0","0.30000000000000004","4","3","5","{}","187.5","7.5600000000000005","15.795000000000002","14.850000000000001"
"3","0","1","5","175","27","0.1","0","0.25","4","3","5","{}","194.44444444444443","7.5600000000000005","15.1875","14.850000000000001"
"3","0","2","4","185","27","0.08","0","0.2","4","3","5","{}","201.08695652173913","7.5600000000000005","14.58","14.850000000000001"
"3","0","3","3","195","27","0.06","0","0.15000000000000002","4","3","5","{}","207.4468085106383","7.5600000000000005","13.9725","14.850000000000001"
"3","0","4","2","205","27","0.04","0","0.1","4","3","5","{}","213.54166666666669","7.5600000000000005","13.365000000000002","14.850000000000001"
"3","0","5","1","215","27","0.02","0","0.05","4","3","5","{}","219.3877551020408","7.5600000000000005","12.7575","14.850000000000001"
"3","0","6","0","224","27","0","0","0","4","3","5","{}","224","7.5600000000000005","12.15","14.850000000000001"
"3","1","0","5","165","28.35","0.1","0","0.25","4","3","5","{}","183.33333333333334","7.9380000000000015","15.946875","15.592500000000003"
"3","1","1","4","175","28.35","0.08","0","0.2","4","3","5","{}","190.2173913043478","7.9380000000000015","15.309","15.592500000000003"
"3","1","2","3","185","28.35","0.06","0","0.15000000000000002","4","3","5","{}","196.8085106382979","7.9380000000000015","14.671125","15.592500000000003"
"3","1","3","2","195","28.35","0.04","0","0.1","4","3","5","{}","203.125","7.9380000000000015","14.03325","15.592500000000003"
"3","1","4","1","205","28.35","0.02","0","0.05","4","3","5","{}","209.18367346938777","7.9380000000000015","13.395375000000001","15.592500000000003"
"3","1","5","0","215","28.35","0","0","0","4","3","5","{}","215","7.9380000000000015","12.7575","15.592500000000003"
"3","2","0","4","165","29.700000000000003","0.08","0","0.2","4","3","5","{}","179.3478260869565","8.316","16.038","16.335000000000004"
"3","2","1","3","175","29.700000000000003","0.06","0","0.15000000000000002","4","3","5","{}","186.17021276595744","8.316","15.369750000000002","16.335000000000004"
"3","2","2","2","185","29.700000000000003","0.04","0","0.1","4","3","5","{}","192.70833333333334","8.316","14.701500000000003","16.335000000000004"
"3","2","3","1","195","29.700000000000003","0.02","0","0.05","4","3","5","{}","198.9795918367347","8.316","14.033250000000002","16.335000000000004"
"3","2","4","0","205","29.700000000000003","0","0","0","4","3","5","{}","205","8.316","13.365000000000002","16.335000000000004"
"3","3","0","3","165","31.049999999999997","0.06","0","0.15000000000000002","4","3","5","{}","175.53191489361703","8.694","16.068374999999996","17.0775"
"3","3","1","2","175","31.049999999999997","0.04","0","0.1","4","3","5","{}","182.29166666666669","8.694","15.36975","17.0775"
"3","3","2","1","185","31.049999999999997","0.02","0","0.05","4","3","5","{}","188.77551020408163","8.694","14.671124999999998","17.0775"
"3","3","3","0","195","31.049999999999997","0","0","0","4","3","5","{}","195","8.694","13.972499999999998","17.0775"
"3","4","0","2","165","32.4","0.04","0","0.1","4","3","5","{}","171.875","9.072000000000001","16.038","17.82"
"3","4","1","1","175","32.4","0.02","0","0.05","4","3","5","{}","178.57142857142858","9.072000000000001","15.309000000000001","17.82"
"3","4","2","0","185","32.4","0","0","0","4","3","5","{}","185","9.072000000000001","14.58","17.82"
"3","5","0","1","165","33.75","0.02","0","0.05","4","3","5","{}","168.3673469387755","9.450000000000001","15.946875","18.5625"
"3","5","1","0","175","33.75","0","0","0","4","3","5","{}","175","9.450000000000001","15.1875","18.5625"
"3","6","0","0","165","35.1","0","0","0","4","3","5","{}","165","9.828000000000001","15.795000000000002","19.305000000000003"
"4","0","0","6","200","33","0.12","0","0.30000000000000004","4","3","5","{}","227.27272727272728","9.24","19.305","18.150000000000002"
"4","0","1","5","212","33","0.1","0","0.25","4","3","5","{}","235.55555555555554","9.24","18.5625","18.150000000000002"
"4","0","2","4","224","33","0.08","0","0.2","4","3","5","{}","243.47826086956522","9.24","17.82","18.150000000000002"
"4","0","3","3","236","33","0.06","0","0.15000000000000002","4","3","5","{}","251.06382978723406","9.24","17.077499999999997","18.150000000000002"
"4","0","4","2","248","33","0.04","0","0.1","4","3","5","{}","258.33333333333337","9.24","16.335","18.150000000000002"
"4","0","5","1","260","33","0.02","0","0.05","4","3","5","{}","265.3061224489796","9.24","15.592500000000001","18.150000000000002"
"4","0","6","0","272","33","0","0","0","4","3","5","{}","272","9.24","14.85","18.150000000000002"
"4","1","0","5","200","34.65","0.1","0","0.25","4","3","5","{}","222.22222222222223","9.702","19.490624999999998","19.0575"
"4","1","1","4","212","34.65","0.08","0","0.2","4","3","5","{}","230.43478260869566","9.702","18.711","19.0575"
"4","1","2","3","224","34.65","0.06","0","0.15000000000000002","4","3","5","{}","238.29787234042556","9.702","17.931375","19.0575"
"4","1","3","2","236","34.65","0.04","0","0.1","4","3","5","{}","245.83333333333334","9.702","17.15175","19.0575"
"4","1","4","1","248","34.65","0.02","0","0.05","4","3","5","{}","253.06122448979593","9.702","16.372125","19.0575"
"4","1","5","0","260","34.65","0","0","0","4","3","5","{}","260","9.702","15.5925","19.0575"
"4","2","0","4","200","36.300000000000004","0.08","0","0.2","4","3","5","{}","217.39130434782606","10.164000000000001","19.602","19.965000000000003"
"4","2","1","3","212","36.300000000000004","0.06","0","0.15000000000000002","4","3","5","{}","225.53191489361703","10.164000000000001","18.785249999999998","19.965000000000003"
"4","2","2","2","224","36.300000000000004","0.04","0","0.1","4","3","5","{}","233.33333333333334","10.164000000000001","17.968500000000002","19.965000000000003"
"4","2","3","1","236","36.300000000000004","0.02","0","0.05","4","3","5","{}","240.81632653061226","10.164000000000001","17.151750000000003","19.965000000000003"
"4","2","4","0","248","36.300000000000004","0","0","0","4","3","5","{}","248","10.164000000000001","16.335","19.965000000000003"
"4","3","0","3","200","37.949999999999996","0.06","0","0.15000000000000002","4","3","5","{}","212.76595744680853","10.626","19.639124999999996","20.8725"
"4","3","1","2","212","37.949999999999996","0.04","0","0.1","4","3","5","{}","220.83333333333334","10.626","18.785249999999998","20.8725"
"4","3","2","1","224","37.949999999999996","0.02","0","0.05","4","3","5","{}","228.57142857142858","10.626","17.931375","20.8725"
"4","3","3","0","236","37.949999999999996","0","0","0","4","3","5","{}","236","10.626","17.077499999999997","20.8725"
"4","4","0","2","200","39.6","0.04","0","0.1","4","3","5","{}","208.33333333333334","11.088000000000001","19.602","21.78"
"4","4","1","1","212","39.6","0.02","0","0.05","4","3","5","{}","216.3265306122449","11.088000000000001","18.711000000000002","21.78"
"4","4","2","0","224","39.6","0","0","0","4","3","5","{}","224","11.088000000000001","17.82","21.78"
"4","5","0","1","200","41.25","0.02","0","0.05","4","3","5","{}","204.08163265306123","11.55","19.490625","22.687500000000004"
"4","5","1","0","212","41.25","0","0","0","4","3","5","{}","212","11.55","18.5625","22.687500000000004"
"4","6","0","0","200","42.9","0","0","0","4","3","5","{}","200","12.012","19.305","23.595000000000002"
"5","0","0","6","240","40","0.12","0","0.30000000000000004","4","3","5","{}","272.72727272727275","11.200000000000001","23.400000000000002","22"
"5","0","1","5","254","40","0.1","0","0.25","4","3","5","{}","282.22222222222223","11.200000000000001","22.5","22"
"5","0","2","4","269","40","0.08","0","0.2","4","3","5","{}","292.39130434782606","11.200000000000001","21.599999999999998","22"
"5","0","3","3","283","40","0.06","0","0.15000000000000002","4","3","5","{}","301.06382978723406","11.200000000000001","20.7","22"
"5","0","4","2","298","40","0.04","0","0.1","4","3","5","{}","310.4166666666667","11.200000000000001","19.8","22"
"5","0","5","1","312","40","0.02","0","0.05","4","3","5","{}","318.36734693877554","11.200000000000001","18.900000000000002","22"
"5","0","6","0","326","40","0","0","0","4","3","5","{}","326","11.200000000000001","18","22"
"5","1","0","5","240","42","0.1","0","0.25","4","3","5","{}","266.6666666666667","11.760000000000002","23.625000000000004","23.1"
"5","1","1","4","254","42","0.08","0","0.2","4","3","5","{}","276.0869565217391","11.760000000000002","22.680000000000003","23.1"
"5","1","2","3","269","42","0.06","0","0.15000000000000002","4","3","5","{}","286.17021276595744","11.760000000000002","21.735","23.1"
"5","1","3","2","283","42","0.04","0","0.1","4","3","5","{}","294.7916666666667","11.760000000000002","20.790000000000003","23.1"
"5","1","4","1","298","42","0.02","0","0.05","4","3","5","{}","304.0816326530612","11.760000000000002","19.845000000000002","23.1"
"5","1","5","0","312","42","0","0","0","4","3","5","{}","312","11.760000000000002","18.900000000000002","23.1"
"5","2","0","4","240","44","0.08","0","0.2","4","3","5","{}","260.8695652173913","12.32","23.76","24.200000000000003"
"5","2","1","3","254","44","0.06","0","0.15000000000000002","4","3","5","{}","270.21276595744683","12.32","22.77","24.200000000000003"
"5","2","2","2","269","44","0.04","0","0.1","4","3","5","{}","280.20833333333337","12.32","21.78","24.200000000000003"
"5","2","3","1","283","44","0.02","0","0.05","4","3","5","{}","288.7755102040816","12.32","20.790000000000003","24.200000000000003"
"5","2","4","0","298","44","0","0","0","4","3","5","{}","298","12.32","19.8","24.200000000000003"
"5","3","0","3","240","46","0.06","0","0.15000000000000002","4","3","5","{}","255.31914893617022","12.88","23.804999999999996","25.3"
"5","3","1","2","254","46","0.04","0","0.1","4","3","5","{}","264.58333333333337","12.88","22.77","25.3"
"5","3","2","1","269","46","0.02","0","0.05","4","3","5","{}","274.48979591836735","12.88","21.735","25.3"
"5","3","3","0","283","46","0","0","0","4","3","5","{}","283","12.88","20.7","25.3"
"5","4","0","2","240","48","0.04","0","0.1","4","3","5","{}","250","13.440000000000001","23.760000000000005","26.400000000000002"
"5","4","1","1","254","48","0.02","0","0.05","4","3","5","{}","259.18367346938777","13.440000000000001","22.680000000000003","26.400000000000002"
"5","4","2","0","269","48","0","0","0","4","3","5","{}","269","13.440000000000001","21.6","26.400000000000002"
"5","5","0","1","240","50","0.02","0","0.05","4","3","5","{}","244.89795918367346","14.000000000000002","23.625","27.500000000000004"
"5","5","1","0","254","50","0","0","0","4","3","5","{}","254","14.000000000000002","22.5","27.500000000000004"
"5","6","0","0","240","52","0","0","0","4","3","5","{}","240","14.560000000000002","23.400000000000002","28.6"
"6","0","0","6","290","48","0.12","0","0.30000000000000004","4","3","5","{}","329.54545454545456","13.440000000000001","28.080000000000002","26.400000000000002"
"6","0","1","5","307","48","0.1","0","0.25","4","3","5","{}","341.1111111111111","13.440000000000001","27","26.400000000000002"
"6","0","2","4","325","48","0.08","0","0.2","4","3","5","{}","353.2608695652174","13.440000000000001","25.92","26.400000000000002"
"6","0","3","3","342","48","0.06","0","0.15000000000000002","4","3","5","{}","363.82978723404256","13.440000000000001","24.84","26.400000000000002"
"6","0","4","2","360","48","0.04","0","0.1","4","3","5","{}","375","13.440000000000001","23.760000000000005","26.400000000000002"
"6","0","5","1","377","48","0.02","0","0.05","4","3","5","{}","384.6938775510204","13.440000000000001","22.680000000000003","26.400000000000002"
"6","0","6","0","394","48","0","0","0","4","3","5","{}","394","13.440000000000001","21.6","26.400000000000002"
"6","1","0","5","290","50.400000000000006","0.1","0","0.25","4","3","5","{}","322.22222222222223","14.112000000000004","28.350000000000005","27.720000000000006"
"6","1","1","4","307","50.400000000000006","0.08","0","0.2","4","3","5","{}","333.695652173913","14.112000000000004","27.216000000000005","27.720000000000006"
"6","1","2","3","325","50.400000000000006","0.06","0","0.15000000000000002","4","3","5","{}","345.74468085106383","14.112000000000004","26.082","27.720000000000006"
"6","1","3","2","342","50.400000000000006","0.04","0","0.1","4","3","5","{}","356.25","14.112000000000004","24.948000000000004","27.720000000000006"
"6","1","4","1","360","50.400000000000006","0.02","0","0.05","4","3","5","{}","367.34693877551024","14.112000000000004","23.814000000000004","27.720000000000006"
"6","1","5","0","377","50.400000000000006","0","0","0","4","3","5","{}","377","14.112000000000004","22.680000000000003","27.720000000000006"
"6","2","0","4","290","52.800000000000004","0.08","0","0.2","4","3","5","{}","315.2173913043478","14.784000000000002","28.512","29.040000000000006"
"6","2","1","3","307","52.800000000000004","0.06","0","0.15000000000000002","4","3","5","{}","326.59574468085106","14.784000000000002","27.323999999999998","29.040000000000006"
"6","2","2","2","325","52.800000000000004","0.04","0","0.1","4","3","5","{}","338.5416666666667","14.784000000000002","26.136000000000003","29.040000000000006"
"6","2","3","1","342","52.800000000000004","0.02","0","0.05","4","3","5","{}","348.9795918367347","14.784000000000002","24.948000000000004","29.040000000000006"
"6","2","4","0","360","52.800000000000004","0","0","0","4","3","5","{}","360","14.784000000000002","23.76","29.040000000000006"
"6","3","0","3","290","55.199999999999996","0.06","0","0.15000000000000002","4","3","5","{}","308.51063829787233","15.456","28.566","30.36"
"6","3","1","2","307","55.199999999999996","0.04","0","0.1","4","3","5","{}","319.7916666666667","15.456","27.324","30.36"
"6","3","2","1","325","55.199999999999996","0.02","0","0.05","4","3","5","{}","331.6326530612245","15.456","26.082","30.36"
"6","3","3","0","342","55.199999999999996","0","0","0","4","3","5","{}","342","15.456","24.84","30.36"
"6","4","0","2","290","57.599999999999994","0.04","0","0.1","4","3","5","{}","302.08333333333337","16.128","28.512","31.68"
"6","4","1","1","307","57.599999999999994","0.02","0","0.05","4","3","5","{}","313.265306122449","16.128","27.215999999999998","31.68"
"6","4","2","0","325","57.599999999999994","0","0","0","4","3","5","{}","325","16.128","25.919999999999998","31.68"
"6","5","0","1","290","60","0.02","0","0.05","4","3","5","{}","295.9183673469388","16.8","28.35","33"
"6","5","1","0","307","60","0","0","0","4","3","5","{}","307","16.8","27","33"
"6","6","0","0","290","62.400000000000006","0","0","0","4","3","5","{}","290","17.472000000000005","28.080000000000002","34.32000000000001"
"7","0","0","6","350","57","0.12","0","0.30000000000000004","4","3","5","{}","397.72727272727275","15.96","33.345000000000006","31.35"
"7","0","1","5","371","57","0.1","0","0.25","4","3","5","{}","412.22222222222223","15.96","32.0625","31.35"
"7","0","2","4","392","57","0.08","0","0.2","4","3","5","{}","426.0869565217391","15.96","30.78","31.35"
"7","0","3","3","413","57","0.06","0","0.15000000000000002","4","3","5","{}","439.3617021276596","15.96","29.4975","31.35"
"7","0","4","2","434","57","0.04","0","0.1","4","3","5","{}","452.08333333333337","15.96","28.215000000000003","31.35"
"7","0","5","1","455","57","0.02","0","0.05","4","3","5","{}","464.2857142857143","15.96","26.932500000000005","31.35"
"7","0","6","0","476","57","0","0","0","4","3","5","{}","476","15.96","25.650000000000002","31.35"
"7","1","0","5","350","59.85","0.1","0","0.25","4","3","5","{}","388.88888888888886","16.758000000000003","33.665625","32.917500000000004"
"7","1","1","4","371","59.85","0.08","0","0.2","4","3","5","{}","403.2608695652174","16.758000000000003","32.319","32.917500000000004"
"7","1","2","3","392","59.85","0.06","0","0.15000000000000002","4","3","5","{}","417.0212765957447","16.758000000000003","30.972375","32.917500000000004"
"7","1","3","2","413","59.85","0.04","0","0.1","4","3","5","{}","430.20833333333337","16.758000000000003","29.625750000000004","32.917500000000004"
"7","1","4","1","434","59.85","0.02","0","0.05","4","3","5","{}","442.8571428571429","16.758000000000003","28.279125","32.917500000000004"
"7","1","5","0","455","59.85","0","0","0","4","3","5","{}","455","16.758000000000003","26.9325","32.917500000000004"
"7","2","0","4","350","62.7","0.08","0","0.2","4","3","5","{}","380.4347826086956","17.556","33.858000000000004","34.48500000000001"
"7","2","1","3","371","62.7","0.06","0","0.15000000000000002","4","3","5","{}","394.68085106382983","17.556","32.447250000000004","34.48500000000001"
"7","2","2","2","392","62.7","0.04","0","0.1","4","3","5","{}","408.33333333333337","17.556","31.036500000000007","34.48500000000001"
"7","2","3","1","413","62.7","0.02","0","0.05","4","3","5","{}","421.42857142857144","17.556","29.625750000000004","34.48500000000001"
"7","2","4","0","434","62.7","0","0","0","4","3","5","{}","434","17.556","28.215000000000003","34.48500000000001"
"7","3","0","3","350","65.55","0.06","0","0.15000000000000002","4","3","5","{}","372.3404255319149","18.354","33.922124999999994","36.0525"
"7","3","1","2","371","65.55","0.04","0","0.1","4","3","5","{}","386.45833333333337","18.354","32.447250000000004","36.0525"
"7","3","2","1","392","65.55","0.02","0","0.05","4","3","5","{}","400","18.354","30.972375","36.0525"
"7","3","3","0","413","65.55","0","0","0","4","3","5","{}","413","18.354","29.4975","36.0525"
"7","4","0","2","350","68.39999999999999","0.04","0","0.1","4","3","5","{}","364.58333333333337","19.152","33.858","37.62"
"7","4","1","1","371","68.39999999999999","0.02","0","0.05","4","3","5","{}","378.57142857142856","19.152","32.318999999999996","37.62"
"7","4","2","0","392","68.39999999999999","0","0","0","4","3","5","{}","392","19.152","30.779999999999998","37.62"
"7","5","0","1","350","71.25","0.02","0","0.05","4","3","5","{}","357.14285714285717","19.950000000000003","33.665625","39.1875"
"7","5","1","0","371","71.25","0","0","0","4","3","5","{}","371","19.950000000000003","32.0625","39.1875"
"7","6","0","0","350","74.10000000000001","0","0","0","4","3","5","{}","350","20.748000000000005","33.345000000000006","40.75500000000001"
"8","0","0","6","420","68","0.12","0","0.30000000000000004","4","3","5","{}","477.27272727272725","19.040000000000003","39.78","37.400000000000006"
"8","0","1","5","445","68","0.1","0","0.25","4","3","5","{}","494.44444444444446","19.040000000000003","38.25","37.400000000000006"
"8","0","2","4","470","68","0.08","0","0.2","4","3","5","{}","510.86956521739125","19.040000000000003","36.72","37.400000000000006"
"8","0","3","3","496","68","0.06","0","0.15000000000000002","4","3","5","{}","527.6595744680851","19.040000000000003","35.19","37.400000000000006"
"8","0","4","2","521","68","0.04","0","0.1","4","3","5","{}","542.7083333333334","19.040000000000003","33.660000000000004","37.400000000000006"
"8","0","5","1","546","68","0.02","0","0.05","4","3","5","{}","557.1428571428571","19.040000000000003","32.13","37.400000000000006"
"8","0","6","0","571","68","0","0","0","4","3","5","{}","571","19.040000000000003","30.6","37.400000000000006"
"8","1","0","5","420","71.4","0.1","0","0.25","4","3","5","{}","466.66666666666663","19.992000000000004","40.1625","39.27"
"8","1","1","4","445","71.4","0.08","0","0.2","4","3","5","{}","483.695652173913","19.992000000000004","38.556000000000004","39.27"
"8","1","2","3","470","71.4","0.06","0","0.15000000000000002","4","3","5","{}","500","19.992000000000004","36.9495","39.27"
"8","1","3","2","496","71.4","0.04","0","0.1","4","3","5","{}","516.6666666666667","19.992000000000004","35.343","39.27"
"8","1","4","1","521","71.4","0.02","0","0.05","4","3","5","{}","531.6326530612245","19.992000000000004","33.73650000000001","39.27"
"8","1","5","0","546","71.4","0","0","0","4","3","5","{}","546","19.992000000000004","32.13","39.27"
"8","2","0","4","420","74.80000000000001","0.08","0","0.2","4","3","5","{}","456.52173913043475","20.944000000000006","40.392","41.14000000000001"
"8","2","1","3","445","74.80000000000001","0.06","0","0.15000000000000002","4","3","5","{}","473.40425531914894","20.944000000000006","38.709","41.14000000000001"
"8","2","2","2","470","74.80000000000001","0.04","0","0.1","4","3","5","{}","489.58333333333337","20.944000000000006","37.02600000000001","41.14000000000001"
"8","2","3","1","496","74.80000000000001","0.02","0","0.05","4","3","5","{}","506.12244897959187","20.944000000000006","35.343","41.14000000000001"
"8","2","4","0","521","74.80000000000001","0","0","0","4","3","5","{}","521","20.944000000000006","33.660000000000004","41.14000000000001"
"8","3","0","3","420","78.19999999999999","0.06","0","0.15000000000000002","4","3","5","{}","446.8085106382979","21.895999999999997","40.46849999999999","43.01"
"8","3","1","2","445","78.19999999999999","0.04","0","0.1","4","3","5","{}","463.5416666666667","21.895999999999997","38.709","43.01"
"8","3","2","1","470","78.19999999999999","0.02","0","0.05","4","3","5","{}","479.5918367346939","21.895999999999997","36.9495","43.01"
"8","3","3","0","496","78.19999999999999","0","0","0","4","3","5","{}","496","21.895999999999997","35.19","43.01"
"8","4","0","2","420","81.6","0.04","0","0.1","4","3","5","{}","437.5","22.848","40.392","44.88"
"8","4","1","1","445","81.6","0.02","0","0.05","4","3","5","{}","454.0816326530612","22.848","38.556","44.88"
"8","4","2","0","470","81.6","0","0","0","4","3","5","{}","470","22.848","36.72","44.88"
"8","5","0","1","420","85","0.02","0","0.05","4","3","5","{}","428.57142857142856","23.8","40.1625","46.75000000000001"
"8","5","1","0","445","85","0","0","0","4","3","5","{}","445","23.8","38.25","46.75000000000001"
"8","6","0","0","420","88.4","0","0","0","4","3","5","{}","420","24.752000000000002","39.78","48.620000000000005"
"9","0","0","6","500","82","0.12","0","0.30000000000000004","4","3","5","{}","568.1818181818181","22.96","47.97","45.1"
"9","0","1","5","530","82","0.1","0","0.25","4","3","5","{}","588.8888888888889","22.96","46.125","45.1"
"9","0","2","4","560","82","0.08","0","0.2","4","3","5","{}","608.695652173913","22.96","44.279999999999994","45.1"
"9","0","3","3","590","82","0.06","0","0.15000000000000002","4","3","5","{}","627.6595744680851","22.96","42.434999999999995","45.1"
"9","0","4","2","620","82","0.04","0","0.1","4","3","5","{}","645.8333333333334","22.96","40.59","45.1"
"9","0","5","1","650","82","0.02","0","0.05","4","3","5","{}","663.265306122449","22.96","38.745","45.1"
"9","0","6","0","680","82","0","0","0","4","3","5","{}","680","22.96","36.9","45.1"
