"id","name","rarity","scenarios","legal","damageP","guardP","hpSaved","damagePerAP","upgradeDamageGain","base","upgrade"
"a03","Entaille tenace","normal","48","40","1","0","0","56","16.8","{""id"":""a03"",""name"":""Entaille tenace"",""affinity"":""assassin"",""rarity"":""normal"",""ap"":2,""min"":1,""max"":1,""damage"":0.7,""op"":""burn"",""amount"":0.15,""type"":""physical"",""shape"":""single"",""duration"":2,""upgrade"":{""damage"":0.85}}","{""damage"":0.85}"
"a04","Attaque oblique","normal","48","40","1.4","0","0","78.4","16.8","{""id"":""a04"",""name"":""Attaque oblique"",""affinity"":""assassin"",""rarity"":""normal"",""ap"":2,""min"":1,""max"":1,""damage"":1.05,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""condition"":""moved"",""bonus"":0.35,""upgrade"":{""damage"":1.2}}","{""damage"":1.2}"
"g01","Garde ferme","normal","48","48","0.25","1.15","56","14","0","{""id"":""g01"",""name"":""Garde ferme"",""affinity"":""gardien"",""rarity"":""normal"",""ap"":2,""min"":0,""max"":0,""damage"":0,""op"":""guard"",""amount"":1.15,""type"":""physical"",""shape"":""single"",""upgrade"":{""amount"":1.4}}","{""amount"":1.4}"
"g02","Heurt du rempart","normal","48","40","1.5","0","0","84","16.8","{""id"":""g02"",""name"":""Heurt du rempart"",""affinity"":""gardien"",""rarity"":""normal"",""ap"":2,""min"":1,""max"":1,""damage"":1,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""condition"":""guarded"",""bonus"":0.5,""upgrade"":{""damage"":1.15}}","{""damage"":1.15}"
"g03","Repousser","normal","48","40","0.8","0","112","44.8","16.8","{""id"":""g03"",""name"":""Repousser"",""affinity"":""gardien"",""rarity"":""normal"",""ap"":2,""min"":1,""max"":1,""damage"":0.8,""op"":""push"",""amount"":2,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.9500000000000001}}","{""damage"":0.9500000000000001}"
"g04","Ramener au front","normal","48","40","0.2","0","-112","22.4","16.8","{""id"":""g04"",""name"":""Ramener au front"",""affinity"":""gardien"",""rarity"":""normal"",""ap"":1,""min"":2,""max"":3,""damage"":0.2,""op"":""pull"",""amount"":1,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.35}}","{""damage"":0.35}"
"r01","Trait tendu","normal","48","40","1","0","0","56","16.8","{""id"":""r01"",""name"":""Trait tendu"",""affinity"":""arpenteur"",""rarity"":""normal"",""ap"":2,""min"":2,""max"":5,""damage"":1,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":1.15}}","{""damage"":1.15}"
"r02","Trait de recul","normal","48","40","0.7","0","0","39.2","16.8","{""id"":""r02"",""name"":""Trait de recul"",""affinity"":""arpenteur"",""rarity"":""normal"",""ap"":2,""min"":2,""max"":4,""damage"":0.7,""op"":""push"",""amount"":1,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.85}}","{""damage"":0.85}"
"r03","Flèche entravante","normal","48","40","0.6","0","0","33.6","16.8","{""id"":""r03"",""name"":""Flèche entravante"",""affinity"":""arpenteur"",""rarity"":""normal"",""ap"":2,""min"":2,""max"":4,""damage"":0.6,""op"":""slow"",""amount"":2,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.75}}","{""damage"":0.75}"
"r04","Volée croisée","normal","48","40","1.2","0","0","44.8","33.6","{""id"":""r04"",""name"":""Volée croisée"",""affinity"":""arpenteur"",""rarity"":""normal"",""ap"":3,""min"":2,""max"":4,""damage"":0.6,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""cross"",""upgrade"":{""damage"":0.75}}","{""damage"":0.75}"
"t01","Trait de givre","normal","48","40","0.65","0","0","36.4","16.8","{""id"":""t01"",""name"":""Trait de givre"",""affinity"":""thaumaturge"",""rarity"":""normal"",""ap"":2,""min"":1,""max"":4,""damage"":0.65,""op"":""slow"",""amount"":1,""type"":""magic"",""shape"":""single"",""upgrade"":{""damage"":0.8}}","{""damage"":0.8}"
"t02","Braise tenace","normal","48","40","0.91","0","0","50.96","16.8","{""id"":""t02"",""name"":""Braise tenace"",""affinity"":""thaumaturge"",""rarity"":""normal"",""ap"":2,""min"":1,""max"":3,""damage"":0.55,""op"":""burn"",""amount"":0.18,""type"":""magic"",""shape"":""single"",""duration"":2,""upgrade"":{""damage"":0.7000000000000001}}","{""damage"":0.7000000000000001}"
"t03","Sceau ombreux","normal","48","40","0.25","0","0","28","16.8","{""id"":""t03"",""name"":""Sceau ombreux"",""affinity"":""thaumaturge"",""rarity"":""normal"",""ap"":1,""min"":1,""max"":4,""damage"":0.25,""op"":""mark"",""amount"":0.4,""type"":""magic"",""shape"":""single"",""upgrade"":{""damage"":0.4}}","{""damage"":0.4}"
"t04","Éclat de braise","normal","48","40","1.3","0","0","48.533333","33.6","{""id"":""t04"",""name"":""Éclat de braise"",""affinity"":""thaumaturge"",""rarity"":""normal"",""ap"":3,""min"":1,""max"":3,""damage"":0.65,""op"":""hit"",""amount"":0,""type"":""magic"",""shape"":""cross"",""upgrade"":{""damage"":0.8}}","{""damage"":0.8}"
"a05","Bond spectral","elite","48","48","0","0","112","0","0","{""id"":""a05"",""name"":""Bond spectral"",""affinity"":""assassin"",""rarity"":""elite"",""ap"":2,""min"":1,""max"":3,""damage"":0,""op"":""blink"",""amount"":3,""type"":""physical"",""shape"":""single"",""upgrade"":{""max"":4,""amount"":4}}","{""max"":4,""amount"":4}"
"a06","Dernier verdict","elite","48","40","2","0","0","74.666667","16.8","{""id"":""a06"",""name"":""Dernier verdict"",""affinity"":""assassin"",""rarity"":""elite"",""ap"":3,""min"":1,""max"":2,""damage"":1.3,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""condition"":""execute"",""bonus"":0.7,""upgrade"":{""damage"":1.45}}","{""damage"":1.45}"
"a07","Pointe franche","elite","48","40","0.9","0","0","50.4","16.8","{""id"":""a07"",""name"":""Pointe franche"",""affinity"":""assassin"",""rarity"":""elite"",""ap"":2,""min"":1,""max"":3,""damage"":0.9,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""pierce"":1,""upgrade"":{""damage"":1.05}}","{""damage"":1.05}"
"g05","Contre préparé","elite","48","48","0.75","0.9","56","42","0","{""id"":""g05"",""name"":""Contre préparé"",""affinity"":""gardien"",""rarity"":""elite"",""ap"":2,""min"":0,""max"":0,""damage"":0,""op"":""counter"",""amount"":0.9,""type"":""physical"",""shape"":""single"",""counter"":0.5,""upgrade"":{""amount"":1.15}}","{""amount"":1.15}"
"g06","Choc de masse","elite","48","40","0.9","0","112","50.4","16.8","{""id"":""g06"",""name"":""Choc de masse"",""affinity"":""gardien"",""rarity"":""elite"",""ap"":2,""min"":1,""max"":1,""damage"":0.9,""op"":""push"",""amount"":2,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":1.05}}","{""damage"":1.05}"
"g07","Dette du bronze","elite","48","40","1.7","0","0","63.466667","16.8","{""id"":""g07"",""name"":""Dette du bronze"",""affinity"":""gardien"",""rarity"":""elite"",""ap"":3,""min"":1,""max"":2,""damage"":1.2,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""condition"":""absorbed"",""bonus"":0.5,""upgrade"":{""damage"":1.3499999999999999}}","{""damage"":1.3499999999999999}"
"r05","Au-delà du front","elite","48","48","0","0","112","0","0","{""id"":""r05"",""name"":""Au-delà du front"",""affinity"":""arpenteur"",""rarity"":""elite"",""ap"":2,""min"":1,""max"":4,""damage"":0,""op"":""blink"",""amount"":4,""type"":""physical"",""shape"":""single"",""upgrade"":{""max"":5,""amount"":5}}","{""max"":5,""amount"":5}"
"r06","Pluie de pointes","elite","48","40","1.7","0","0","63.466667","33.6","{""id"":""r06"",""name"":""Pluie de pointes"",""affinity"":""arpenteur"",""rarity"":""elite"",""ap"":3,""min"":2,""max"":5,""damage"":0.85,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""cross"",""upgrade"":{""damage"":1}}","{""damage"":1}"
"r07","Trait harpon","elite","48","40","0.55","0","-112","30.8","16.8","{""id"":""r07"",""name"":""Trait harpon"",""affinity"":""arpenteur"",""rarity"":""elite"",""ap"":2,""min"":2,""max"":5,""damage"":0.55,""op"":""pull"",""amount"":2,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.7000000000000001}}","{""damage"":0.7000000000000001}"
"t05","Bûcher des ombres","elite","48","48","1.4","0","-78.4","78.4","44.8","{""id"":""t05"",""name"":""Bûcher des ombres"",""affinity"":""thaumaturge"",""rarity"":""elite"",""ap"":2,""min"":1,""max"":4,""damage"":0,""op"":""firefield"",""amount"":0.35,""type"":""magic"",""shape"":""cross"",""duration"":2,""upgrade"":{""amount"":0.44999999999999996}}","{""amount"":0.44999999999999996}"
"t06","Jardin de givre","elite","48","48","0","0","0","0","0","{""id"":""t06"",""name"":""Jardin de givre"",""affinity"":""thaumaturge"",""rarity"":""elite"",""ap"":2,""min"":1,""max"":4,""damage"":0,""op"":""icefield"",""amount"":1,""type"":""magic"",""shape"":""cross"",""duration"":2,""upgrade"":{""duration"":3}}","{""duration"":3}"
"t07","Prélèvement","elite","48","40","0.75","0","42","42","16.8","{""id"":""t07"",""name"":""Prélèvement"",""affinity"":""thaumaturge"",""rarity"":""elite"",""ap"":2,""min"":1,""max"":3,""damage"":0.75,""op"":""drain"",""amount"":0.5,""type"":""magic"",""shape"":""single"",""upgrade"":{""damage"":0.9}}","{""damage"":0.9}"
"a08","Couper le souffle","rare","48","40","0.7","0","28","39.2","16.8","{""id"":""a08"",""name"":""Couper le souffle"",""affinity"":""assassin"",""rarity"":""rare"",""ap"":2,""min"":1,""max"":3,""damage"":0.7,""op"":""disrupt"",""amount"":0.5,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":0.85}}","{""damage"":0.85}"
"a09","Sommeil marqué","rare","48","32","0","0","56","0","0","{""id"":""a09"",""name"":""Sommeil marqué"",""affinity"":""assassin"",""rarity"":""rare"",""ap"":3,""min"":1,""max"":3,""damage"":0,""op"":""stasis"",""amount"":1,""type"":""physical"",""shape"":""single"",""upgrade"":{""max"":4}}","{""max"":4}"
"g08","Bastion vivant","rare","48","48","0.25","1.9","56","9.333333","0","{""id"":""g08"",""name"":""Bastion vivant"",""affinity"":""gardien"",""rarity"":""rare"",""ap"":3,""min"":0,""max"":0,""damage"":0,""op"":""guard"",""amount"":1.9,""type"":""physical"",""shape"":""single"",""upgrade"":{""amount"":2.15}}","{""amount"":2.15}"
"g09","Répercussion","rare","48","40","0.85","0","-56","47.6","16.8","{""id"":""g09"",""name"":""Répercussion"",""affinity"":""gardien"",""rarity"":""rare"",""ap"":2,""min"":1,""max"":3,""damage"":0.5,""op"":""guardburst"",""amount"":0.6,""type"":""physical"",""shape"":""single"",""cap"":1.2,""upgrade"":{""damage"":0.65}}","{""damage"":0.65}"
"r08","Permutation","rare","48","40","0","0","-112","0","0","{""id"":""r08"",""name"":""Permutation"",""affinity"":""arpenteur"",""rarity"":""rare"",""ap"":2,""min"":1,""max"":5,""damage"":0,""op"":""swap"",""amount"":0,""type"":""physical"",""shape"":""single"",""upgrade"":{""max"":6}}","{""max"":6}"
"r09","La longue vue","rare","48","40","1.75","0","0","65.333333","16.8","{""id"":""r09"",""name"":""La longue vue"",""affinity"":""arpenteur"",""rarity"":""rare"",""ap"":3,""min"":3,""max"":6,""damage"":1.75,""op"":""hit"",""amount"":0,""type"":""physical"",""shape"":""single"",""upgrade"":{""damage"":1.9}}","{""damage"":1.9}"
"t08","Convergence","rare","48","48","1.6","0","0","59.733333","33.6","{""id"":""t08"",""name"":""Convergence"",""affinity"":""thaumaturge"",""rarity"":""rare"",""ap"":3,""min"":1,""max"":4,""damage"":0.8,""op"":""converge"",""amount"":1,""type"":""magic"",""shape"":""cross"",""upgrade"":{""damage"":0.9500000000000001}}","{""damage"":0.9500000000000001}"
"t09","Résonance du sceau","rare","48","40","2.1","0","0","78.4","16.8","{""id"":""t09"",""name"":""Résonance du sceau"",""affinity"":""thaumaturge"",""rarity"":""rare"",""ap"":3,""min"":1,""max"":4,""damage"":0.9,""op"":""hit"",""amount"":0,""type"":""magic"",""shape"":""single"",""condition"":""marked"",""bonus"":0.8,""upgrade"":{""damage"":1.05}}","{""damage"":1.05}"
"l01","Orage du passage","legendary","48","48","2.2","0","0","82.133333","33.6","{""id"":""l01"",""name"":""Orage du passage"",""affinity"":""shared"",""rarity"":""legendary"",""ap"":3,""min"":0,""max"":0,""damage"":1.1,""op"":""storm"",""amount"":0,""type"":""magic"",""shape"":""radius2"",""upgrade"":{""damage"":1.25}}","{""damage"":1.25}"
"l02","Grâce du bronze","legendary","48","48","0.25","0.5","224","14","0","{""id"":""l02"",""name"":""Grâce du bronze"",""affinity"":""shared"",""rarity"":""legendary"",""ap"":2,""min"":0,""max"":0,""damage"":0,""op"":""heal"",""amount"":1.5,""type"":""physical"",""shape"":""single"",""shield"":0.5,""upgrade"":{""amount"":1.75}}","{""amount"":1.75}"
"d01","Décret du dernier souffle","god","48","48","0","0","0","0","28","{""id"":""d01"",""name"":""Décret du dernier souffle"",""affinity"":""shared"",""rarity"":""god"",""ap"":3,""min"":0,""max"":0,""damage"":0,""op"":""edict"",""amount"":1,""type"":""physical"",""shape"":""single"",""upgrade"":{""shield"":0.6}}","{""shield"":0.6}"
"i01","Seconde aurore","immortal","48","48","0.25","1","393.5","7","0","{""id"":""i01"",""name"":""Seconde aurore"",""affinity"":""shared"",""rarity"":""immortal"",""ap"":4,""min"":0,""max"":0,""damage"":0,""op"":""renew"",""amount"":0.6,""type"":""physical"",""shape"":""single"",""shield"":1,""endTurn"":true,""upgrade"":{""amount"":0.75}}","{""amount"":0.75}"
