"scenario","class","spec","n","wins","rate","ciLow","ciHigh","earlyFailures","meanCards","medianFinalStock","medianWinStock","meanGold","failureFights"
"no_gear","arpenteur","sniper","10","10","1","0.72246","1","0","84.9","32","32","510.2","{}"
"no_gear","thaumaturge","pyre","10","7","0.7","0.396773","0.892211","1","84.1","19","27","449","{""3"":1,""10"":1,""12"":1}"
"no_relics","assassin","execution","10","9","0.9","0.595844","0.982124","0","77.8","36","36","238.9","{""12"":1}"
"no_relics","gardien","bastion","10","7","0.7","0.396773","0.892211","0","85.8","19","22","185.8","{""7"":2,""8"":1}"
"no_relics","arpenteur","sniper","10","9","0.9","0.595844","0.982124","0","83.6","32","33","223.2","{""10"":1}"
"no_relics","thaumaturge","pyre","10","8","0.8","0.490157","0.943319","1","83.3","22","33","213.5","{""3"":1,""12"":1}"
"deck15","assassin","execution","10","8","0.8","0.490157","0.943319","0","64.8","36","36","224.3","{""5"":1,""10"":1}"
"deck15","gardien","bastion","10","1","0.1","0.017876","0.404156","0","68","22","22","169.6","{""6"":1,""7"":4,""12"":4}"
"deck15","arpenteur","sniper","10","5","0.5","0.23659","0.76341","0","72.8","30","34","215.3","{""7"":1,""8"":1,""10"":2,""12"":1}"
"deck15","thaumaturge","pyre","10","4","0.4","0.168178","0.68733","1","69.5","27","31","203.3","{""3"":1,""7"":1,""8"":1,""10"":1,""12"":2}"
"deck30","assassin","execution","10","9","0.9","0.595844","0.982124","0","75.9","36","36","229.9","{""7"":1}"
"deck30","gardien","bastion","10","8","0.8","0.490157","0.943319","0","92.6","21","24","203.4","{""7"":1,""8"":1}"
"deck30","arpenteur","sniper","10","10","1","0.72246","1","0","85.9","31","31","231.1","{}"
"deck30","thaumaturge","pyre","10","7","0.7","0.396773","0.892211","1","81.7","22","30","210.8","{""3"":1,""8"":1,""12"":1}"
"fallback","assassin","execution","10","0","0","0","0.27754","10","0","15","0","40","{""1"":10}"
"fallback","gardien","bastion","10","0","0","0","0.27754","10","0","15","0","40","{""1"":10}"
"fallback","arpenteur","sniper","10","0","0","0","0.27754","10","0","15","0","40","{""1"":10}"
"fallback","thaumaturge","pyre","10","0","0","0","0.27754","10","0","15","0","40","{""1"":10}"
"old_drop_variance","assassin","execution","10","9","0.9","0.595844","0.982124","0","71.8","35","35","211.5","{""6"":1}"
"old_drop_variance","gardien","bastion","10","6","0.6","0.31267","0.831822","1","74.9","17","19","169.1","{""3"":1,""7"":3}"
"old_drop_variance","arpenteur","sniper","10","8","0.8","0.490157","0.943319","0","82.7","27","27","216.1","{""7"":1,""12"":1}"
"old_drop_variance","thaumaturge","pyre","10","5","0.5","0.23659","0.76341","0","82.1","29","33","198.3","{""7"":2,""10"":1,""12"":2}"
